statisticalID,name,partOf,code,physicalType
MX15010,Apaxco,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX12006,Apaxtla,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX30017,Apazapan,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX29002,Apetatitlán de Antonio Carvajal,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX29005,Apizaco,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX19006,Apodaca,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX16007,Aporo,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX32001,Apozol,Location/MX32,ADMIN_STRUCTURE,Jurisdiction
MX32002,Apulco,Location/MX32,ADMIN_STRUCTURE,Jurisdiction
MX16008,Aquila,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX30018,Aquila,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX08004,Aquiles Serdán,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX24003,Aquismón,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX21016,Aquixtla,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX19007,Aramberri,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX14008,Arandas,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX12007,Arcelia,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX16009,Ario,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX26005,Arivechi,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX26006,Arizpe,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX24004,Armadillo de los Infante,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX06001,Armería,Location/MX06,ADMIN_STRUCTURE,Jurisdiction
MX07009,Arriaga,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX22003,Arroyo Seco,Location/MX22,ADMIN_STRUCTURE,Jurisdiction
MX05004,Arteaga,Location/MX05,ADMIN_STRUCTURE,Jurisdiction
MX16010,Arteaga,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX08005,Ascensión,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX01002,Asientos,Location/MX01,ADMIN_STRUCTURE,Jurisdiction
MX30019,Astacinga,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX20003,Asunción Cacalotepec,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX20004,Asunción Cuyotepeji,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX20005,Asunción Ixtaltepec,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX20006,Asunción Nochixtlán,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX20007,Asunción Ocotlán,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX20008,Asunción Tlacolulita,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX11006,Atarjea,Location/MX11,ADMIN_STRUCTURE,Jurisdiction
MX14010,Atemajac de Brizuela,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX21017,Atempan,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX12008,Atenango del Río,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX15011,Atenco,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX14011,Atengo,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX14012,Atenguillo,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX21018,Atexcal,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX26007,Atil,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX13010,Atitalaquia,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX15012,Atizapán,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX15013,Atizapán de Zaragoza,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX15014,Atlacomulco,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX30020,Atlahuilco,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX12009,Atlamajalcingo del Monte,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX29003,Atlangatepec,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX13011,Atlapexco,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX17002,Atlatlahucan,Location/MX17,ADMIN_STRUCTURE,Jurisdiction
MX15015,Atlautla,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX21080,Atlequizayan,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX21019,Atlixco,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX12010,Atlixtac,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX29004,Atltzayanca,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX32003,Atolinga,Location/MX32,ADMIN_STRUCTURE,Jurisdiction
MX13013,Atotonilco de Tula,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX14013,Atotonilco el Alto,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX13012,Atotonilco el Grande,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX14014,Atoyac,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX30021,Atoyac,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX12011,Atoyac de Álvarez,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
